"","TreatmentControl","Item","value"
"1","Control","Q15_1_Median",5
"2","Control","Q15_2_Median",4
"3","Control","Q15_3_Median",4
"4","Control","Q15_4_Median",3
"5","Control","Q15_5_Median",3.5
"6","Control","Q15_6_Median",4
"7","Control","Q15_7_Median",4
"8","Control","Q15_8_Median",4
"9","Control","Q15_9_Median",4.5
"10","Control","Q15_10_Median",4
"11","Control","Q15_11_Median",4
"12","Control","Q15_1_Mean",3.94444444444444
"13","Control","Q15_2_Mean",3.5
"14","Control","Q15_3_Mean",3.66666666666667
"15","Control","Q15_4_Mean",3.22222222222222
"16","Control","Q15_5_Mean",2.94444444444444
"17","Control","Q15_6_Mean",3.44444444444444
"18","Control","Q15_7_Mean",3.72222222222222
"19","Control","Q15_8_Mean",3.27777777777778
"20","Control","Q15_9_Mean",3.77777777777778
"21","Control","Q15_10_Mean",3.72222222222222
"22","Control","Q15_11_Mean",3.66666666666667
"23","Control","Q15_1_SD",1.66175747583597
"24","Control","Q15_2_SD",1.38266579688743
"25","Control","Q15_3_SD",1.53392997769474
"26","Control","Q15_4_SD",1.39560467837445
"27","Control","Q15_5_SD",1.43372087784044
"28","Control","Q15_6_SD",1.72259114749784
"29","Control","Q15_7_SD",1.48742001487596
"30","Control","Q15_8_SD",1.63798856404668
"31","Control","Q15_9_SD",1.62898581063244
"32","Control","Q15_10_SD",1.60167396093093
"33","Control","Q15_11_SD",1.60879933307969
"34","Treatment","Q15_1_Median",5
"35","Treatment","Q15_2_Median",4
"36","Treatment","Q15_3_Median",4
"37","Treatment","Q15_4_Median",4.5
"38","Treatment","Q15_5_Median",4
"39","Treatment","Q15_6_Median",4
"40","Treatment","Q15_7_Median",5
"41","Treatment","Q15_8_Median",4
"42","Treatment","Q15_9_Median",5
"43","Treatment","Q15_10_Median",4
"44","Treatment","Q15_11_Median",5
"45","Treatment","Q15_1_Mean",4.38095238095238
"46","Treatment","Q15_2_Mean",3.77272727272727
"47","Treatment","Q15_3_Mean",4
"48","Treatment","Q15_4_Mean",3.95454545454545
"49","Treatment","Q15_5_Mean",3.5
"50","Treatment","Q15_6_Mean",3.54545454545455
"51","Treatment","Q15_7_Mean",4.18181818181818
"52","Treatment","Q15_8_Mean",3.77272727272727
"53","Treatment","Q15_9_Mean",4.5
"54","Treatment","Q15_10_Mean",4.04545454545455
"55","Treatment","Q15_11_Mean",4.45454545454545
"56","Treatment","Q15_1_SD",1.4309504001254
"57","Treatment","Q15_2_SD",1.37777661406645
"58","Treatment","Q15_3_SD",1.23442679969674
"59","Treatment","Q15_4_SD",1.36197590102702
"60","Treatment","Q15_5_SD",1.4057704208691
"61","Treatment","Q15_6_SD",1.47122471584125
"62","Treatment","Q15_7_SD",1.25873570872347
"63","Treatment","Q15_8_SD",1.37777661406645
"64","Treatment","Q15_9_SD",1.1852265204432
"65","Treatment","Q15_10_SD",1.17421798606046
"66","Treatment","Q15_11_SD",1.18431305092758
